Geneid	logFC	logCPM	PValue	FDR
YCR105W	-12.9997182435189	8.89110813508919	3.58456033265583e-12	1.93637949170068e-08
YBR117C	4.81481670964618	7.48968101571518	8.65506403308501e-12	2.33773279533626e-08
YEL070W	5.72070253439959	7.29696802975453	2.11979061681414e-11	3.22610770065402e-08
YDR403W	4.29329046842875	6.34914482089668	2.73702934107477e-11	3.22610770065402e-08
YPR127W	3.55796506297699	8.18770223092655	2.98603082252316e-11	3.22610770065402e-08
YDR085C	4.08124488159667	7.86539583404972	3.72599618637849e-11	3.35463856646944e-08
YEL071W	-11.5113289040119	7.71382558493276	7.47431334585162e-11	5.76803438489864e-08
YMR105C	3.12788457395363	8.36291054448494	1.26470614079135e-10	8.53992821569358e-08
YMR009W	3.39939023001152	7.66001295968659	1.80089321379174e-10	9.84777418740933e-08
YGR043C	3.42010779799568	8.24465081825692	1.83728722455398e-10	9.84777418740933e-08
YKL164C	2.63294809158573	8.2428108130326	2.00528537692526e-10	9.84777418740933e-08
YKR075C	3.2509526087835	8.10426044707419	2.81671426413454e-10	1.2679908712379e-07
YHL021C	2.93421716584504	7.97901017033872	3.15477878385217e-10	1.31093192233611e-07
YFL056C	-6.74548299954124	7.94383251849198	3.56428269509087e-10	1.37530393706292e-07
YHR087W	3.6941026521915	8.68728304633495	4.20915788746762e-10	1.51585806054001e-07
YLR178C	3.18775070761797	9.22597250061816	4.57522047682066e-10	1.54470881348658e-07
YDR343C	6.00776615879143	7.37296745863103	6.03667370867484e-10	1.87523372464303e-07
YPL265W	-3.64818908660723	7.94562489793897	6.24846483590792e-10	1.87523372464303e-07
YGL157W	-3.16533318175109	6.52333201584147	8.17161413963734e-10	2.32331892538531e-07
YNR071C	3.18532291048564	9.83876648236764	1.20830298287894e-09	3.26362635675602e-07
YDR342C	3.22715556179105	8.4234768963163	1.34037026127371e-09	3.44794292923837e-07
YJR152W	-2.38841671283436	10.0388767788554	1.6766339472043e-09	4.1168984467262e-07
YMR175W-A	3.93140785304271	8.01281525318835	1.8598342997212e-09	4.3681847335191e-07
YNL331C	-4.16627970938971	7.22593817205386	3.13734902687839e-09	6.32622656459016e-07
YDR070C	4.61149229663331	9.80114183371291	3.13971746053071e-09	6.32622656459016e-07
YCR098C	-3.32654554926255	6.89738667801056	3.14855858904853e-09	6.32622656459016e-07
YPL018W	2.58103530838962	6.47301369459966	3.16194219259412e-09	6.32622656459016e-07
YKR069W	2.2917046077525	6.96721647976814	3.4267472333291e-09	6.61117448372993e-07
YLR092W	3.30076769734447	8.00863565911483	3.74064142369785e-09	6.967912058902e-07
YEL072W	-8.62442853941964	5.3429437427212	3.9860409269594e-09	7.1775310291449e-07
YGL055W	-2.62867220955313	10.9199752425508	4.41148539294634e-09	7.68736906216004e-07
YLR258W	1.96466521853708	8.68051707925222	5.09676051519121e-09	8.60396884470717e-07
YCR107W	-9.62432026314937	5.95080520623561	5.40782136409002e-09	8.74349644894515e-07
YBR067C	-2.47791875917159	6.88874078571268	5.50312623591512e-09	8.74349644894515e-07
YPL056C	3.05261377100608	6.39806579022351	6.27723243653621e-09	9.68845989204817e-07
YLR270W	2.03480462850649	8.36126236854102	7.07697202365104e-09	1.03105178446199e-06
YEL011W	2.77015702308713	9.4510708920688	7.10567069558072e-09	1.03105178446199e-06
YDL243C	-2.72095853436316	8.86686296786944	7.32806030872369e-09	1.03105178446199e-06
YDL204W	2.58128003745046	9.18619083868311	7.51828399159786e-09	1.03105178446199e-06
