# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/scratch/lukens/Assignment_2_Genome/genomic.gtf" "-o" "gene_counts.txt" "-T" "8" "-t" "exon" "-g" "gene_id" "-s" "2" "SRR10551657_1.fastqAligned.out.bam" "SRR10551658_1.fastqAligned.out.bam" "SRR10551659_1.fastqAligned.out.bam" "SRR10551660.fastqAligned.out.bam" "SRR10551661.fastqAligned.out.bam" "SRR10551662.fastqAligned.out.bam" "SRR10551663_1.fastqAligned.out.bam" "SRR10551664_1.fastqAligned.out.bam" "SRR10551665_1.fastqAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10551657_1.fastqAligned.out.bam	SRR10551658_1.fastqAligned.out.bam	SRR10551659_1.fastqAligned.out.bam	SRR10551660.fastqAligned.out.bam	SRR10551661.fastqAligned.out.bam	SRR10551662.fastqAligned.out.bam	SRR10551663_1.fastqAligned.out.bam	SRR10551664_1.fastqAligned.out.bam	SRR10551665_1.fastqAligned.out.bam
YAL068C	NC_001133.9	1807	2169	-	363	1	1	2	0	0	0	0	1	0
YAL067W-A	NC_001133.9	2480	2707	+	228	0	0	0	1	0	0	0	1	0
YAL067C	NC_001133.9	7235	9016	-	1782	41	26	25	110	76	58	34	21	36
YAL065C	NC_001133.9	11565	11951	-	387	4	1	3	2	2	0	1	5	3
YAL064W-B	NC_001133.9	12046	12426	+	381	0	0	0	0	0	0	0	0	0
YAL064C-A	NC_001133.9	13363	13743	-	381	0	0	0	0	0	0	0	0	0
YAL064W	NC_001133.9	21566	21850	+	285	0	0	0	0	0	0	0	0	0
YAL063C-A	NC_001133.9	22395	22685	-	291	0	0	0	0	0	0	0	0	0
YAL063C	NC_001133.9	24000	27968	-	3969	6	3	3	11	5	7	14	15	15
YAL062W	NC_001133.9	31567	32940	+	1374	64	34	41	57	91	65	39	46	51
YAL061W	NC_001133.9	33448	34701	+	1254	79	53	81	71	69	40	199	210	212
YAL060W	NC_001133.9	35155	36303	+	1149	180	164	245	76	120	44	312	378	345
YAL059W	NC_001133.9	36509	37147	+	639	5	11	6	36	19	14	13	21	21
YAL058W	NC_001133.9	37464	38972	+	1509	7	2	7	14	16	20	17	16	20
YAL056W	NC_001133.9	39259	41901	+	2643	67	33	57	181	111	87	221	249	222
YAL055W	NC_001133.9	42177	42719	+	543	37	30	31	33	55	4	17	17	27
YAL054C	NC_001133.9	42881	45022	-	2142	63	52	52	72	70	59	63	59	60
YAL053W	NC_001133.9	45899	48250	+	2352	66	46	34	165	110	130	132	139	158
YAL051W	NC_001133.9	48564	51707	+	3144	36	34	39	79	59	39	86	101	91
YAL049C	NC_001133.9	51855	52595	-	741	129	89	102	250	167	137	120	155	147
YAL048C	NC_001133.9	52801	54789	-	1989	9	10	7	29	13	12	38	35	35
YAL047C	NC_001133.9	54989	56857	-	1869	12	14	11	20	22	5	14	15	21
YAL046C	NC_001133.9	57029	57385	-	357	15	4	11	32	19	24	10	11	13
YAL044W-A	NC_001133.9	57518	57850	+	333	32	17	25	44	45	14	22	44	30
YAL044C	NC_001133.9	57950	58462	-	513	100	59	76	96	66	42	46	53	51
YAL043C	NC_001133.9	58695	61052	-	2358	19	12	3	38	17	21	20	19	21
